,embedder,job_name,task,diff_score,all_probe_sim,pos_probe_sim,num_unique_probes,avg_num_relata,num_pos
909,wd,hinton_2019-02-13-09-43-30_num1,hypernyms,-0.025183810898096737,0.0034029035250463828,0.10000569994953819,563,1.0,1.0
912,wd,hinton_2019-02-13-09-43-30_num1,events,0.06568117961723607,-0.0006816122462606837,0.02665321436475307,359,15.0625,15.0625
915,wd,hinton_2019-02-13-09-43-30_num1,nyms_ant_jw,-0.030730909968211928,0.009792792163127648,0.033629099400163454,181,4.465863453815261,4.465863453815261
918,wd,hinton_2019-02-13-09-43-30_num1,features_has,-0.02417484047612206,0.002016906293240404,0.038755571704462775,532,6.781376518218623,6.781376518218623
961,cbow,hoff_2019-02-13-09-43-26_num2,cohyponyms_semantic,-0.012202209651128504,0.02456074023739734,0.15953080779374484,569,25.026362038664324,25.026362038664324
964,cbow,hoff_2019-02-13-09-43-26_num2,features_is,-0.03643943249700299,-0.00903825052936012,0.028598857659330304,421,6.328719723183391,6.328719723183391
967,cbow,hoff_2019-02-13-09-43-26_num2,cohyponyms_syntactic,-0.003246328762726125,0.0060169538611111115,0.05852546168567124,830,160.12274368231047,160.12274368231047
970,cbow,hoff_2019-02-13-09-43-26_num2,nyms_syn_jw,-0.058156723016075995,0.04749316149513841,0.11814421879592664,236,5.755485893416928,5.755485893416928
973,cbow,hoff_2019-02-13-09-43-26_num2,hypernyms,-0.04006046863188906,0.023540732838589984,0.19209170435266001,563,1.0,1.0
976,cbow,hoff_2019-02-13-09-43-26_num2,events,0.03879839805359564,-0.005257524706196581,0.041291297212606874,359,15.0625,15.0625
979,cbow,hoff_2019-02-13-09-43-26_num2,nyms_ant_jw,-0.09176683970645094,0.052995691939026826,0.13635638033988953,181,4.465863453815261,4.465863453815261
982,cbow,hoff_2019-02-13-09-43-26_num2,features_has,-0.0338732630105284,0.024024509813970175,0.09419022103198647,532,6.781376518218623,6.781376518218623
1025,cbow,hoff_2019-02-13-09-43-26_num0,cohyponyms_semantic,-0.014171245582472958,0.024253257804368038,0.15891445922762432,569,25.026362038664324,25.026362038664324
1028,cbow,hoff_2019-02-13-09-43-26_num0,features_is,-0.027764121578350398,-0.008136377369209316,0.030282017555685097,421,6.328719723183391,6.328719723183391
1031,cbow,hoff_2019-02-13-09-43-26_num0,cohyponyms_syntactic,-0.009353359181789256,0.005927290444444446,0.05875933649545912,830,160.12274368231047,160.12274368231047
1034,cbow,hoff_2019-02-13-09-43-26_num0,nyms_syn_jw,-0.058661626456162574,0.04819388688167473,0.12174680802060495,236,5.755485893416928,5.755485893416928
1037,cbow,hoff_2019-02-13-09-43-26_num0,hypernyms,-0.03349824778395527,0.022491804267161408,0.19160280432114718,563,1.0,1.0
1040,cbow,hoff_2019-02-13-09-43-26_num0,events,0.043957505895954485,-0.00509420873397436,0.041652602984342375,359,15.0625,15.0625
1043,cbow,hoff_2019-02-13-09-43-26_num0,nyms_ant_jw,-0.09549405100789554,0.05377676806674211,0.1373051628911433,181,4.465863453815261,4.465863453815261
1046,cbow,hoff_2019-02-13-09-43-26_num0,features_has,-0.04148137508771632,0.02367057102957003,0.09385392086495335,532,6.781376518218623,6.781376518218623
1089,cbow,hoff_2019-02-13-09-43-26_num1,cohyponyms_semantic,-0.01610677525138604,0.024224438829877598,0.15929264051372344,569,25.026362038664324,25.026362038664324
1092,cbow,hoff_2019-02-13-09-43-26_num1,features_is,-0.031082707698121048,-0.00843536280535041,0.03056038459336874,421,6.328719723183391,6.328719723183391
1095,cbow,hoff_2019-02-13-09-43-26_num1,cohyponyms_syntactic,-0.00493324883037205,0.005981278666666666,0.05870195218901898,830,160.12274368231047,160.12274368231047
1098,cbow,hoff_2019-02-13-09-43-26_num1,nyms_syn_jw,-0.05142505951719001,0.047342942457892785,0.12093383419650097,236,5.755485893416928,5.755485893416928
1101,cbow,hoff_2019-02-13-09-43-26_num1,hypernyms,-0.031539888682746264,0.022668748343493243,0.18939961837447364,563,1.0,1.0
1104,cbow,hoff_2019-02-13-09-43-26_num1,events,0.03947327897960806,-0.006246797876602563,0.03961666729848045,359,15.0625,15.0625
1107,cbow,hoff_2019-02-13-09-43-26_num1,nyms_ant_jw,-0.10199459765511754,0.05298975792673456,0.13494586221264873,181,4.465863453815261,4.465863453815261
1110,cbow,hoff_2019-02-13-09-43-26_num1,features_has,-0.03961113166247754,0.023927348562496797,0.09380729797066098,532,6.781376518218623,6.781376518218623
1153,srn,bengio_2019-02-13-09-43-38_num1,cohyponyms_semantic,-0.017431804013660845,0.028186128100666848,0.14942254893190712,569,25.026362038664324,25.026362038664324
1156,srn,bengio_2019-02-13-09-43-38_num1,features_is,0.012301448628000311,-0.002190287145586944,0.0238395593088272,421,6.328719723183391,6.328719723183391
1159,srn,bengio_2019-02-13-09-43-38_num1,cohyponyms_syntactic,0.03967973722986495,0.009220308722222225,0.091315860670908,830,160.12274368231047,160.12274368231047
1162,srn,bengio_2019-02-13-09-43-38_num1,nyms_syn_jw,-0.07493368840697956,0.07620873917432652,0.15605589972926912,236,5.755485893416928,5.755485893416928
1165,srn,bengio_2019-02-13-09-43-38_num1,hypernyms,-0.07651343365627927,0.022540624834349324,0.1394775537105003,563,1.0,1.0
1168,srn,bengio_2019-02-13-09-43-38_num1,events,0.0963222246965566,-0.02083773704594017,-0.003756998891856728,359,15.0625,15.0625
1171,srn,bengio_2019-02-13-09-43-38_num1,nyms_ant_jw,-0.07046416723494098,0.08642815349796978,0.1543748062780845,181,4.465863453815261,4.465863453815261
1174,srn,bengio_2019-02-13-09-43-38_num1,features_has,0.0029599400772947204,0.031404553630912733,0.06485883467799089,532,6.781376518218623,6.781376518218623
1217,srn,bengio_2019-02-13-09-43-38_num0,cohyponyms_semantic,-0.016622368274080923,0.026709623518583154,0.14352065668804903,569,25.026362038664324,25.026362038664324
1220,srn,bengio_2019-02-13-09-43-38_num0,features_is,0.024198293913305857,-0.007871428755874606,0.011762509039709714,421,6.328719723183391,6.328719723183391
1223,srn,bengio_2019-02-13-09-43-38_num0,cohyponyms_syntactic,0.042674143856560987,0.008295244138888892,0.0930143165731206,830,160.12274368231047,160.12274368231047
1226,srn,bengio_2019-02-13-09-43-38_num0,nyms_syn_jw,-0.055198422992956964,0.07582029036714308,0.15379576219887936,236,5.755485893416928,5.755485893416928
1229,srn,bengio_2019-02-13-09-43-38_num0,hypernyms,-0.06538170823883138,0.02337810296846011,0.14204212833639482,563,1.0,1.0
1232,srn,bengio_2019-02-13-09-43-38_num0,events,0.10188532828411023,-0.01546381810897436,-0.0019803192745631274,359,15.0625,15.0625
1235,srn,bengio_2019-02-13-09-43-38_num0,nyms_ant_jw,-0.04551795216093435,0.08878342031107858,0.14896171379432963,181,4.465863453815261,4.465863453815261
1238,srn,bengio_2019-02-13-09-43-38_num0,features_has,-0.003011784238396542,0.029240202044790657,0.0703620267542812,532,6.781376518218623,6.781376518218623
1281,srn,bengio_2019-02-13-09-43-38_num2,cohyponyms_semantic,-0.02032549086175872,0.02592159778355022,0.14534628059642188,569,25.026362038664324,25.026362038664324
1284,srn,bengio_2019-02-13-09-43-38_num2,features_is,0.02154989760406556,-0.007557111501316945,0.013870939076746488,421,6.328719723183391,6.328719723183391
1287,srn,bengio_2019-02-13-09-43-38_num2,cohyponyms_syntactic,0.03873545226440034,0.009175816055555557,0.09436360238453297,830,160.12274368231047,160.12274368231047
1290,srn,bengio_2019-02-13-09-43-38_num2,nyms_syn_jw,-0.054102759585835325,0.07885407908718983,0.15502760916843755,236,5.755485893416928,5.755485893416928
1293,srn,bengio_2019-02-13-09-43-38_num2,hypernyms,-0.060365560365550186,0.018620398224224753,0.14022089885722167,563,1.0,1.0
1296,srn,bengio_2019-02-13-09-43-38_num2,events,0.10207055777916652,-0.015447931356837606,-0.00023045361602549985,359,15.0625,15.0625
1299,srn,bengio_2019-02-13-09-43-38_num2,nyms_ant_jw,-0.029538990258873743,0.08917833433180235,0.14422319777660114,181,4.465863453815261,4.465863453815261
1302,srn,bengio_2019-02-13-09-43-38_num2,features_has,0.0006666303190832057,0.026933458976067238,0.061755757499958194,532,6.781376518218623,6.781376518218623
