arch,corpus,embed_size,embedder,evaluation,job_name,neg_pos_ratio,num_epochs,num_vocab,param_name,regime,score,standardize,task
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.6585462467815411,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.5130499627143923,,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.511372110365399,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.5607755406413124,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.5607755406413124,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.5609619686800895,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.5598434004474273,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.5598434004474273,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.5596569724086503,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.5600298284862043,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.5594705443698732,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
